Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,Pair
2023-11-15 16:15:00,36333.10,36390,36279.10,36359.40,3031.359,2023-11-15 16:29:59.999,110169636.16430,33402,1575.596,57268888.93790,0,BTCUSDT
2023-11-15 16:30:00,36359.40,36396,36288.50,36381.30,2052.976,2023-11-15 16:44:59.999,74628173.18680,26140,950.187,34543613.89010,0,BTCUSDT
2023-11-15 16:45:00,36381.30,36438,36320.60,36378,3135.256,2023-11-15 16:59:59.999,114071132.95570,31792,1519.909,55306861.28160,0,BTCUSDT
2023-11-15 17:00:00,36377.90,36380,36256,36371.30,4100.999,2023-11-15 17:14:59.999,148975358.64340,38157,2067.450,75109288.35220,0,BTCUSDT
2023-11-15 17:15:00,36371.40,36418.50,36312.40,36417.30,2484.097,2023-11-15 17:29:59.999,90366588.66270,25840,1291.804,46997491.42180,0,BTCUSDT
2023-11-15 17:30:00,36417.20,36493.70,36359.40,36392.90,2454.640,2023-11-15 17:44:59.999,89420736.60091,26828,1241.349,45226918.14711,0,BTCUSDT
2023-11-15 17:45:00,36392.90,36513.20,36379.50,36498.90,3090.887,2023-11-15 17:59:59.999,112709513.49840,33900,1592.185,58054324.83150,0,BTCUSDT
2023-11-15 18:00:00,36498.90,37606.70,36454.40,37092.60,30158.452,2023-11-15 18:14:59.999,1116153477.43370,215275,18369.381,679712738.02007,0,BTCUSDT
2023-11-15 18:15:00,37092.50,37445.40,36735.90,37166.60,39407.556,2023-11-15 18:29:59.999,1462549910.86265,301495,19367.046,718887561.04592,0,BTCUSDT
2023-11-15 18:30:00,37166.70,37241.10,36887.80,37232.70,14491.096,2023-11-15 18:44:59.999,537006830.96145,138770,7309.682,270929714.09966,0,BTCUSDT
2023-11-15 18:45:00,37232.50,37550,37209.40,37413.90,17745.938,2023-11-15 18:59:59.999,663677785.31031,162010,9161.350,342636951.86716,0,BTCUSDT
2023-11-15 19:00:00,37413.80,37845,37318.70,37450.10,22221.994,2023-11-15 19:14:59.999,835643036.85371,197544,11408.368,429137106.91839,0,BTCUSDT
2023-11-15 19:15:00,37450,37488,37190,37450.20,12693.842,2023-11-15 19:29:59.999,474174711.66638,120380,6385.774,238564613.86699,0,BTCUSDT
2023-11-15 19:30:00,37450.30,37588.30,37348.70,37353,6033.176,2023-11-15 19:44:59.999,225960880.82778,67798,2762.662,103493237.06829,0,BTCUSDT
2023-11-15 19:45:00,37353.10,37533.30,37282.20,37527.40,4779.136,2023-11-15 19:59:59.999,178704279.17894,50299,2514.175,94032843.87074,0,BTCUSDT
2023-11-15 20:00:00,37527.40,37879.40,37456,37636.50,13193.275,2023-11-15 20:14:59.999,497306001.16848,128699,6953.790,262154381.20564,0,BTCUSDT
2023-11-15 20:15:00,37636.50,37743,37592,37611.70,5253.059,2023-11-15 20:29:59.999,197908320.14490,60965,2476.600,93311321.30720,0,BTCUSDT
2023-11-15 20:30:00,37611.70,37638.40,37319.30,37438.60,10534.426,2023-11-15 20:44:59.999,394651710.63405,84322,4734.078,177328974.09954,0,BTCUSDT
2023-11-15 20:45:00,37438.60,37565,37411.40,37546.50,3992.785,2023-11-15 20:59:59.999,149734374.68781,46694,2227.392,83536247.67931,0,BTCUSDT
2023-11-15 21:00:00,37546.60,37679.50,37425.20,37608.80,4396.992,2023-11-15 21:14:59.999,165156909.70626,47531,2355.124,88479016.46702,0,BTCUSDT
2023-11-15 21:15:00,37608.80,37675.50,37489.60,37638.20,3749.254,2023-11-15 21:29:59.999,140962386.63156,41273,1895.810,71290837.99185,0,BTCUSDT
2023-11-15 21:30:00,37638.20,37730,37568,37702.80,4389.496,2023-11-15 21:44:59.999,165324498.33970,47575,2638.675,99389361.79310,0,BTCUSDT
2023-11-15 21:45:00,37702.90,37754.90,37625.20,37644.50,2882.720,2023-11-15 21:59:59.999,108642499.45680,31507,1413.250,53270716.17370,0,BTCUSDT
2023-11-15 22:00:00,37644.60,37700,37517,37669.50,3552.166,2023-11-15 22:14:59.999,133527351.34516,41593,1753.749,65927909.84045,0,BTCUSDT
2023-11-15 22:15:00,37669.50,37704,37520.70,37682.30,2867.118,2023-11-15 22:29:59.999,107847845.53336,30361,1533.441,57682039.45615,0,BTCUSDT
2023-11-15 22:30:00,37682.30,37933,37672,37789.10,5367.713,2023-11-15 22:44:59.999,202945824.04517,54404,3167.710,119776752.78007,0,BTCUSDT
2023-11-15 22:45:00,37789.20,37899.60,37710,37736.30,2888.100,2023-11-15 22:59:59.999,109111933.03178,33825,1228.002,46396441.36150,0,BTCUSDT
2023-11-15 23:00:00,37736.30,37886.60,37736,37744.80,3574.194,2023-11-15 23:14:59.999,135099131.70136,37517,1617.596,61146739.25288,0,BTCUSDT
2023-11-15 23:15:00,37744.80,37807.30,37624.70,37775.50,4168.542,2023-11-15 23:29:59.999,157161309.28869,44562,1778.067,67044211.24878,0,BTCUSDT
2023-11-15 23:30:00,37775.40,37899,37769.50,37866.80,4226.445,2023-11-15 23:44:59.999,159907781.62880,48501,2277.085,86157536.52530,0,BTCUSDT
2023-11-15 23:45:00,37866.80,38000,37804.30,37885.60,7430.905,2023-11-15 23:59:59.999,281757272.93936,75483,4195.384,159100371.42110,0,BTCUSDT
2023-11-16 00:00:00,37885.50,37956.50,37771.80,37853.10,5543.780,2023-11-16 00:14:59.999,209861234.01810,61505,2654.546,100498745.01800,0,BTCUSDT
2023-11-16 00:15:00,37853.10,37929.90,37761.70,37796.80,3645.126,2023-11-16 00:29:59.999,137923624.63828,44653,1816.392,68734519.35410,0,BTCUSDT
2023-11-16 00:30:00,37796.80,37840,37700.40,37733.10,3009.526,2023-11-16 00:44:59.999,113618406.87930,38286,1399.063,52826376.35580,0,BTCUSDT
2023-11-16 00:45:00,37733.10,37917.60,37733,37795.20,4524.021,2023-11-16 00:59:59.999,171199167.48026,52844,2544.561,96294515.24748,0,BTCUSDT
